Name,Display_Name,Type_1,Type_2,BST,HP,Attack,Defense,Sp_Attack,Sp_Defense,Speed,Ability_1,Ability_2,Ability_3
AMPHAROS,Ampharos,Electric,,425,90,75,0,115,90,55,Static,Plus,
AMPHAROS_MEGA,Ampharos,Electric,Dragon,505,90,95,0,165,110,45,Mold Breaker,Mold Breaker,Mold Breaker
ANNIHILAPE,Annihilape,Fighting,Ghost,535,110,115,80,50,90,90,Vital Spirit,Inner Focus,Defiant
ANORITH,Anorith,Rock,Bug,355,45,95,50,40,50,75,Battle Armor,Swift Swim,
APPLIN,Applin,Grass,Dragon,260,40,40,80,40,40,20,Ripen,Gluttony,Bulletproof
ARAQUANID,Araquanid,Water,Bug,454,68,70,92,50,132,42,Water Bubble,Water Absorb,
ARBOK,Arbok,Poison,,353,60,0,69,65,79,80,Intimidate,Shed Skin,Unnerve
ARCANINE,Arcanine,Fire,,555,90,110,80,100,80,95,Intimidate,Flash Fire,Justified
ARCANINE_HISUIAN,Arcanine,Fire,Rock,555,95,115,80,95,80,90,Intimidate,Flash Fire,Rock Head
ARCHEN,Archen,Rock,Flying,401,55,112,45,74,45,70,,,
ARCHEOPS,Archeops,Rock,Flying,570,75,140,65,115,65,110,,,
ARCTIBAX,Arctibax,Dragon,Ice,423,90,95,66,45,65,62,Thermal Exchange,Ice Body,
ARCTOVISH,Arctovish,Water,Ice,505,90,90,100,80,90,55,Water Absorb,Ice Body,Slush Rush
ARCTOZOLT,Arctozolt,Electric,Ice,505,90,100,90,90,80,55,Volt Absorb,Static,Slush Rush
ARIADOS,Ariados,Bug,Poison,330,70,90,70,60,0,40,Swarm,Insomnia,Sniper
ARMALDO,Armaldo,Rock,Bug,495,75,125,100,70,80,45,Battle Armor,Swift Swim,
ARMAROUGE,Armarouge,Fire,Psychic,525,85,60,100,125,80,75,Flash Fire,Weak Armor,
AROMATISSE,Aromatisse,Fairy,,462,101,72,72,99,89,29,Healer,Aroma Veil,
ARON,Aron,Steel,Rock,330,50,70,100,40,40,30,Sturdy,Rock Head,Heavy Metal
ARROKUDA,Arrokuda,Water,,280,41,63,40,40,30,66,Swift Swim,Propeller Tail,
ARTICUNO,Articuno,Ice,Flying,580,90,85,100,95,125,85,Pressure,Snow Cloak,
ARTICUNO_GALARIAN,Articuno,Psychic,Flying,580,90,85,85,125,100,95,Competitive,,
AUDINO,Audino,Normal,,445,103,60,86,60,86,50,Hospitality,Regenerator,Klutz
AUDINO_MEGA,Audino,Normal,Fairy,545,103,60,126,80,126,50,Hospitality,Regenerator,Healer
AURORUS,Aurorus,Rock,Ice,521,123,77,72,99,92,58,Refrigerate,Snow Warning,
AVALUGG,Avalugg,Ice,,514,95,117,184,44,46,28,Own Tempo,Ice Body,Sturdy
AVALUGG_HISUIAN,Avalugg,Ice,Rock,514,95,127,184,34,36,38,Strong Jaw,Ice Body,Sturdy
AXEW,Axew,Dragon,,320,46,87,60,30,40,57,Rivalry,Mold Breaker,Unnerve
AZELF,Azelf,Psychic,,580,75,125,70,125,70,115,,,
AZUMARILL,Azumarill,Water,Fairy,360,100,50,80,0,80,50,Thick Fat,Huge Power,Sap Sipper
AZURILL,Azurill,Normal,Fairy,190,50,20,40,20,40,20,Thick Fat,Huge Power,Sap Sipper
BAGON,Bagon,Dragon,,300,45,75,60,40,30,50,Rock Head,Sheer Force,
BALTOY,Baltoy,Ground,Time,330,55,44,55,44,77,55,,,
BANETTE,Banette,Ghost,,455,64,115,65,83,63,65,Insomnia,Frisk,Cursed Body
BANETTE_MEGA,Banette,Ghost,,555,64,165,75,93,83,75,Prankster,Prankster,Prankster
BARBARACLE,Barbaracle,Rock,Water,500,72,105,115,54,86,68,Tough Claws,Sniper,Pickpocket
BARBOACH,Barboach,Water,Ground,288,50,48,43,46,41,60,Oblivious,Anticipation,Hydration
BARRASKEWDA,Barraskewd,Water,,490,61,123,60,60,50,136,Swift Swim,Propeller Tail,
BASCULIN_BLUE_STRIPED,Basculin,Water,,460,70,92,65,80,55,98,Rock Head,Adaptability,Mold Breaker
BASCULIN_RED_STRIPED,Basculin,Water,,460,70,92,65,80,55,98,Reckless,Adaptability,Mold Breaker
BASCULIN_WHITE_STRIPED,Basculin,Water,Ghost,460,70,92,65,80,55,98,Rattled,Adaptability,Mold Breaker
BASTIODON,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,Sturdy,Soundproof,
BAXCALIBUR,Baxcalibur,Dragon,Ice,600,115,145,92,75,86,87,Thermal Exchange,Ice Body,
BAYLEEF,Bayleef,Grass,,405,60,62,80,63,80,60,Overgrow,Leaf Guard,
BEARTIC,Beartic,Ice,,375,95,0,80,70,80,50,Snow Cloak,Slush Rush,Swift Swim
BEAUTIFLY,Beautifly,Bug,Flying,295,60,70,50,0,50,65,Swarm,Rivalry,
BEEDRILL,Beedrill,Bug,Poison,380,75,0,50,50,85,120,Tinted Lens,Anger Point,Sniper
BEEDRILL_MEGA,Beedrill,Bug,Poison,405,75,0,50,40,85,155,Adaptability,Adaptability,Adaptability
BEHEEYEM,Beheeyem,Psychic,,485,75,75,75,125,95,40,Telepathy,Synchronize,Analytic
BELDUM,Beldum,Steel,Psychic,300,40,55,80,35,60,30,Clear Body,Light Metal,
BELLIBOLT,Bellibolt,Electric,,495,109,64,91,103,83,45,Electromorphosis,Static,Damp
BELLOSSOM,Bellossom,Grass,,395,75,80,0,90,100,50,Chlorophyll,Healer,
BELLSPROUT,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,Chlorophyll,Gluttony,
BERGMITE,Bergmite,Ice,,304,55,69,85,32,35,28,Own Tempo,Ice Body,Sturdy
BEWEAR,Bewear,Normal,Fighting,500,120,125,80,55,60,60,Fluffy,Klutz,Unnerve
BIBAREL,Bibarel,Normal,Water,410,79,85,60,55,60,71,Simple,Unaware,Moody
BIDOOF,Bidoof,Normal,,250,59,45,40,35,40,31,Simple,Unaware,Moody
BINACLE,Binacle,Rock,Water,306,42,52,67,39,56,50,Tough Claws,Sniper,Pickpocket
BISHARP,Bisharp,Dark,Steel,490,65,125,100,60,70,70,Defiant,Inner Focus,Pressure
BLACEPHALON,Blacephaln,Fire,Ghost,570,53,127,53,151,79,107,,,
BLASTOISE,Blastoise,Water,,530,79,83,100,85,105,78,Torrent,Rain Dish,
BLASTOISE_GIGANTAMAX,Blastoise,Water,,530,79,83,100,85,105,78,Torrent,Rain Dish,
BLASTOISE_MEGA,Blastoise,Water,,630,79,103,120,135,115,78,Mega Launcher,Mega Launcher,Mega Launcher
BLAZIKEN,Blaziken,Fire,Fighting,545,85,125,75,110,70,80,Scrappy,Speed Boost,
BLAZIKEN_MEGA,Blaziken,Fire,Fighting,630,80,160,80,130,80,100,Speed Boost,Speed Boost,Speed Boost
BLIPBUG,Blipbug,Bug,,180,25,20,20,25,45,45,Swarm,Compound Eyes,Telepathy
BLISSEY,Blissey,Normal,,540,255,10,10,75,135,55,Natural Cure,Serene Grace,Healer
BLITZLE,Blitzle,Electric,,295,45,60,32,50,32,76,Lightning Rod,Motor Drive,Sap Sipper
BOLDORE,Boldore,Rock,,390,70,105,105,50,40,20,Sturdy,Weak Armor,Sand Stream
BOLTUND,Boltund,Electric,,490,69,90,60,90,60,121,Strong Jaw,Competitive,
BOMBIRDIER,Bombirdier,Flying,Dark,485,70,103,85,60,85,82,Big Pecks,Keen Eye,Rocky Payload
BONSLY,Bonsly,Rock,,290,50,80,95,10,45,10,Sturdy,Rock Head,Rattled
BOUFFALANT,Bouffalant,Normal,,490,95,110,95,40,95,55,Reckless,Sap Sipper,Soundproof
BOUNSWEET,Bounsweet,Grass,,210,42,30,38,30,38,32,Leaf Guard,Water Absorb,Sweet Veil
BRAIXEN,Braixen,Fire,,409,59,59,58,90,70,73,Blaze,Magician,
BRAMBLIN,Bramblin,Grass,Ghost,275,40,65,30,45,35,60,Wind Rider,Infiltrator,
BRAVIARY,Braviary,Normal,Flying,510,100,123,75,57,75,80,Keen Eye,Sheer Force,Defiant
BRAVIARY_HISUIAN,Braviary,Psychic,Flying,510,110,83,70,112,70,65,Keen Eye,Sheer Force,Tinted Lens
BRELOOM,Breloom,Grass,Fighting,460,60,130,80,60,60,70,Effect Spore,Poison Heal,Technician
BRIONNE,Brionne,Water,,420,60,69,69,91,81,50,Torrent,Liquid Voice,
BRAMBLEGHAST,Brmblghast,Grass,Ghost,480,55,115,70,80,70,90,Wind Rider,Infiltrator,
BRONZONG,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,Levitate,Heatproof,Heavy Metal
BRONZOR,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,Levitate,Heatproof,Heavy Metal
BRUTE_BONNET,BruteBonet,Grass,Dark,570,111,127,99,79,99,55,,,
BRUXISH,Bruxish,Water,Psychic,475,68,105,70,70,70,92,Dazzling,Strong Jaw,Wonder Skin
BASCULEGION_FEMALE,Bsculegion,Water,Ghost,530,120,92,65,100,75,78,Swift Swim,Adaptability,Mold Breaker
BASCULEGION_MALE,Bsculegion,Water,Ghost,530,120,112,65,80,75,78,Swift Swim,Adaptability,Mold Breaker
BUDEW,Budew,Grass,Poison,280,40,30,35,50,70,55,Natural Cure,Poison Point,Leaf Guard
WOOLOO,Budraar,Grass,Time,380,135,25,30,30,25,135,Composure,Composure,Magic Bounce
BUIZEL,Buizel,Water,,330,55,65,35,60,30,85,Swift Swim,Water Veil,
BULBASAUR,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,Overgrow,Chlorophyll,
BUNEARY,Buneary,Normal,,350,55,66,44,44,56,85,Run Away,Klutz,Limber
BUNNELBY,Bunnelby,Normal,,237,38,36,38,32,36,57,Pickup,Cheek Pouch,Huge Power
BUZZWOLE,Buzzwole,Bug,Fighting,570,107,139,139,53,53,79,,,
CACNEA,Cacnea,Grass,,335,50,85,40,85,40,35,Sand Veil,Water Absorb,
CACTURNE,Cacturne,Grass,Dark,475,70,115,60,115,60,55,Sand Veil,Water Absorb,
CALYREX,Calyrex,Psychic,Grass,500,100,80,80,80,80,80,,,
CALYREX_ICE_RIDER,Calyrex,Psychic,Ice,680,100,165,150,85,130,50,,,
CALYREX_SHADOW_RIDER,Calyrex,Psychic,Ghost,680,100,85,80,165,100,150,,,
CAMERUPT,Camerupt,Fire,Ground,460,70,100,70,105,75,40,Magma Armor,Solid Rock,Anger Point
CAMERUPT_MEGA,Camerupt,Fire,Ground,560,70,120,100,145,105,20,Sheer Force,Sheer Force,Sheer Force
CAPSAKID,Capsakid,Grass,,304,50,62,40,62,40,50,Chlorophyll,Insomnia,Klutz
CARBINK,Carbink,Rock,Fairy,500,50,50,150,50,150,50,Clear Body,Sturdy,
CARKOL,Carkol,Rock,Fire,410,80,60,90,60,70,50,Steam Engine,Flame Body,Flash Fire
CARNIVINE,Carnivine,Grass,,454,74,100,72,90,72,46,,,
CARRACOSTA,Carracosta,Water,Rock,495,74,108,133,83,65,32,Solid Rock,Sturdy,Swift Swim
SWIRLIX,Carrisease,Poison,Flying,382,65,42,51,66,69,89,Decomp Oder,Poison Touch,Magic Bounce
CARVANHA,Carvanha,Water,Dark,305,45,90,20,65,20,65,Rough Skin,Speed Boost,
CASCOON,Cascoon,Bug,,205,50,35,55,25,25,15,,,
CASTFORM_NORMAL,Castform,Normal,,420,70,70,70,70,70,70,,,
CASTFORM_RAINY,Castform,Water,,420,70,70,70,70,70,70,,,
CASTFORM_SNOWY,Castform,Ice,,420,70,70,70,70,70,70,,,
CASTFORM_SUNNY,Castform,Fire,,420,70,70,70,70,70,70,,,
CATERPIE,Caterpie,Bug,,195,45,30,35,20,20,45,Shield Dust,Pickup,Run Away
CELEBI,Celebi,Psychic,Grass,600,100,100,100,100,100,100,,,
CELESTEELA,Celesteela,Steel,Flying,570,97,101,103,107,101,61,,,
CERULEDGE,Ceruledge,Fire,Ghost,525,75,125,80,60,100,85,Flash Fire,Weak Armor,
CETITAN,Cetitan,Ice,,521,170,113,65,45,55,73,Thick Fat,Slush Rush,Sheer Force
CETODDLE,Cetoddle,Ice,,334,108,68,45,30,40,43,Thick Fat,Snow Cloak,Sheer Force
CHANDELURE,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,Flash Fire,Flame Body,Infiltrator
CHANSEY,Chansey,Normal,,450,250,5,5,35,105,50,Natural Cure,Serene Grace,Healer
CHARCADET,Charcadet,Fire,,330,40,70,40,70,40,70,Flash Fire,Flame Body,
CHARIZARD,Charizard,Fire,Flying,534,78,84,78,109,85,100,Blaze,Solar Power,
CHARIZARD_GIGANTAMAX,Charizard,Fire,Flying,534,78,84,78,109,85,100,Blaze,Solar Power,
CHARIZARD_MEGA_X,Charizard,Fire,Dragon,634,78,130,111,130,85,100,Tough Claws,Tough Claws,Tough Claws
CHARIZARD_MEGA_Y,Charizard,Fire,Flying,634,78,104,78,159,115,100,Drought,Drought,Drought
CHARJABUG,Charjabug,Bug,Electric,400,57,82,95,55,75,36,,,
CHARMANDER,Charmander,Fire,,309,39,52,43,60,50,65,Blaze,Solar Power,
CHARMELEON,Charmeleon,Fire,,405,58,64,58,80,65,80,Blaze,Solar Power,
CHATOT,Chatot,Normal,Flying,411,76,65,45,92,42,91,Keen Eye,Tangled Feet,Big Pecks
CHERUBI,Cherubi,Grass,,275,45,35,45,62,53,35,,,
CHESNAUGHT,Chesnaught,Grass,Electric,550,100,74,70,110,122,74,Galvanize,Bulletproof,
CHESPIN,Chespin,Grass,Normal,320,60,48,65,61,45,41,Stellar Coat,Bulletproof,
CHEWTLE,Chewtle,Water,,335,55,66,55,40,45,74,Strong Jaw,Shell Armor,Swift Swim
CHI_YU,Chi-Yu,Dark,Fire,570,55,80,80,135,120,100,Beads Of Ruin,,
CHIEN_PAO,Chien-Pao,Dark,Ice,570,80,120,80,90,65,135,Sword Of Ruin,,
CHIKORITA,Chikorita,Grass,,318,45,49,65,49,65,45,Overgrow,Leaf Guard,
CHIMCHAR,Chimchar,Fire,,320,45,60,45,60,45,65,Serene Grace,,
CHIMECHO,Chimecho,Psychic,,455,75,50,80,95,90,65,,,
CHINCHOU,Chinchou,Water,Electric,330,75,38,38,56,56,67,Volt Absorb,Water Absorb,Flare Boost
CHINGLING,Chingling,Time,Steel,335,60,30,60,70,50,65,Levitate,Hospitality,
CINCCINO,Cinccino,Normal,,470,75,95,60,65,60,115,Cute Charm,Technician,Skill Link
CLAMPERL,Clamperl,Water,,345,35,64,85,74,55,32,Shell Armor,Rattled,
CLAUNCHER,Clauncher,Water,,330,50,53,62,58,63,44,,,
CLAWITZER,Clawitzer,Water,,500,71,73,88,120,89,59,,,
CLAYDOL,Claydol,Ground,Psychic,500,60,70,105,70,120,75,,,
CLEFABLE,Clefable,,,388,95,70,73,0,90,60,Cute Charm,Magic Guard,Unaware
CLEFAIRY,Clefairy,,,323,70,45,48,60,65,35,Cute Charm,Magic Guard,Friend Guard
CLEFFA,Cleffa,,,218,50,25,28,45,55,15,Cute Charm,Magic Guard,Friend Guard
CLOBBOPUS,Clobbopus,Fighting,,310,50,68,60,50,50,32,Limber,Technician,
CLODSIRE,Clodsire,Poison,Ground,430,130,75,60,45,100,20,Poison Point,Water Absorb,Unaware
CLOYSTER,Cloyster,Water,Ice,525,50,95,180,85,45,70,Shell Armor,Skill Link,Overcoat
COBALION,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,,,
COFAGRIGUS,Cofagrigus,Ghost,,483,58,50,145,95,105,30,,,
COMBEE,Combee,Bug,Flying,284,42,42,42,42,42,74,Supersweet Syrup,Honey Gather,Hustle
COMBUSKEN,Combusken,Fire,Fighting,430,60,95,60,85,60,70,Scrappy,Speed Boost,
COMFEY,Comfey,Fairy,,485,51,52,90,82,110,100,Flower Veil,Triage,Natural Cure
CONKELDURR,Conkeldurr,Fighting,,505,105,140,95,55,65,45,Guts,Sheer Force,Iron Fist
CORPHISH,Corphish,Water,,308,43,80,65,50,35,35,Hyper Cutter,Shell Armor,Adaptability
CORSOLA,Corsola,Water,Rock,155,0,55,0,65,0,35,Hustle,Natural Cure,Regenerator
CORSOLA_GALARIAN,Corsola,Ghost,,150,0,55,0,65,0,30,Weak Armor,Cursed Body,
CORVISQUIRE,Corvisquir,Flying,,365,68,67,55,43,55,77,Keen Eye,Unnerve,Big Pecks
COSMOEM,Cosmoem,Psychic,,400,43,29,131,29,131,37,,,
COSMOG,Cosmog,Psychic,,200,43,29,31,29,31,37,,,
COTTONEE,Cottonee,,,280,40,27,60,37,50,66,Prankster,Infiltrator,Chlorophyll
CRABOMINABLE,Crabminabl,Fighting,Ice,478,97,132,77,62,67,43,Hyper Cutter,Iron Fist,Anger Point
CRABRAWLER,Crabrawler,Fighting,,338,47,82,57,42,47,63,Hyper Cutter,Iron Fist,Anger Point
CRADILY,Cradily,Rock,Grass,495,86,81,97,81,107,43,Suction Cups,Storm Drain,
CRANIDOS,Cranidos,Rock,,350,67,125,40,30,30,58,Mold Breaker,Sheer Force,
CRAWDAUNT,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,Hyper Cutter,Shell Armor,Adaptability
CRESSELIA,Cresselia,Psychic,,350,120,70,0,75,0,85,,,
CROAGUNK,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,Anticipation,Dry Skin,Poison Touch
CROBAT,Crobat,Poison,Flying,535,85,90,80,70,80,130,Inner Focus,Wind Rider,Infiltrator
CROCALOR,Crocalor,Fire,,411,81,55,78,90,58,49,Blaze,Unaware,
CROCONAW,Croconaw,Water,Time,420,70,90,80,55,59,66,Regenerator,Sheer Force,
CRUSTLE,Crustle,Bug,Rock,380,70,0,125,65,75,45,Sturdy,Shell Armor,Weak Armor
CRYOGONAL,Cryogonal,Ice,,515,80,50,50,95,135,105,,,
CUBCHOO,Cubchoo,Ice,,305,55,70,40,60,40,40,Snow Cloak,Slush Rush,Rattled
CUBONE,Cubone,Ground,,320,50,50,95,40,50,35,Rock Head,Lightning Rod,Battle Armor
CUFANT,Cufant,Steel,,330,72,80,49,40,49,40,Sheer Force,Heavy Metal,
CURSOLA,Cursola,Ghost,,510,60,95,50,145,130,30,Weak Armor,Perish Body,
CUTIEFLY,Cutiefly,Bug,Fairy,304,40,45,40,55,40,84,Honey Gather,Shield Dust,Sweet Veil
CYCLIZAR,Cyclizar,Dragon,Normal,501,70,95,65,85,65,121,Shed Skin,Regenerator,
CYNDAQUIL,Cyndaquil,Fire,,309,39,52,43,60,50,65,Blaze,Flash Fire,
DACHSBUN,Dachsbun,Fairy,,477,57,80,115,50,80,95,Well Baked Body,Aroma Veil,
DARKRAI,Darkrai,Dark,,600,70,90,90,135,90,125,,,
DARMANITAN_GALARIAN_STANDARD_MODE,Darmanitan Galarian Standard Mode,Ice,,540,105,160,55,30,55,135,Zen Mode,,
DARMANITAN_GALARIAN_ZEN_MODE,Darmanitan Galarian Zen Mode,Ice,Fire,540,105,160,55,30,55,135,Zen Mode,,
DARMANITAN_STANDARD_MODE,Darmanitan Standard Mode,Fire,,480,105,140,55,30,55,95,Moxie,Moxie,
DARMANITAN_ZEN_MODE,Darmanitan Zen Mode,Fire,Psychic,540,105,30,105,140,105,55,Moxie,Moxie,
PUMPKABOO_AVERAGE,Dartish,Water,,280,47,63,43,40,33,54,Clear Body,Steely Spirit,Mold Breaker
DARTRIX,Dartrix,Grass,Flying,420,78,75,75,70,70,52,Overgrow,Long Reach,
DARUMAKA,Darumaka,Fire,,315,70,90,45,15,45,50,Oblivious,Hustle,
DARUMAKA_GALARIAN,Darumaka,Ice,,315,70,90,45,15,45,50,Oblivious,Hustle,
DECIDUEYE,Decidueye,Grass,Ghost,530,78,107,75,100,100,70,Overgrow,Long Reach,
DECIDUEYE_HISUIAN,Decidueye,Grass,Fighting,530,88,112,80,95,95,60,Overgrow,Scrappy,
DEDENNE,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,Cheek Pouch,Pickup,Plus
DEINO,Deino,Dark,Dragon,300,52,65,50,45,50,38,,,
DELCATTY,Delcatty,Normal,Psychic,440,90,65,65,70,55,95,Hospitality,Wonder Skin,Normalize
DELIBIRD,Delibird,Ice,Flying,330,45,55,45,65,45,75,Vital Spirit,Hustle,Insomnia
DELPHOX,Delphox,Fire,Psychic,534,75,69,72,114,100,104,Blaze,Magician,
DEOXYS_ATTACK,Deoxys,Psychic,,600,50,180,20,180,20,150,,,
DEOXYS_DEFENSE,Deoxys,Psychic,,600,50,70,160,70,160,90,,,
DEOXYS_NORMAL,Deoxys,Psychic,,600,50,150,50,150,50,150,,,
DEOXYS_SPEED,Deoxys,Psychic,,600,50,95,90,95,90,180,,,
DEWGONG,Dewgong,Water,Ice,475,90,70,80,70,95,70,Thick Fat,Hydration,Ice Body
DEWOTT,Dewott,Water,,413,75,75,60,83,60,60,Torrent,Shell Armor,
DEWPIDER,Dewpider,Water,Bug,269,38,40,52,40,72,27,Water Bubble,Water Absorb,
DHELMISE,Dhelmise,Ghost,Grass,517,70,131,100,86,90,40,,,
DIALGA,Dialga,Steel,Dragon,680,100,120,120,150,100,90,Pressure,Telepathy,
DIALGA_ORIGIN,Dialga,Steel,Dragon,680,100,100,120,150,120,90,Pressure,Telepathy,
DIANCIE,Diancie,Rock,Fairy,600,50,100,150,100,150,50,,,
DIANCIE_MEGA,Diancie,Rock,Fairy,700,50,160,110,160,110,110,Magic Bounce,Magic Bounce,Magic Bounce
DIGGERSBY,Diggersby,Normal,Ground,423,85,56,77,50,77,78,Pickup,Cheek Pouch,Huge Power
DIGLETT,Diglett,Ground,,265,10,55,25,35,45,95,Sand Veil,Arena Trap,Sand Force
DIGLETT_ALOLAN,Diglett,Ground,Steel,265,10,55,30,35,45,90,Sand Veil,Tangling Hair,Sand Force
DIPPLIN,Dipplin,Grass,Dragon,485,80,80,110,95,80,40,Supersweet Syrup,Gluttony,Sticky Hold
DITTO,Ditto,Normal,,288,48,48,48,48,48,48,Limber,Imposter,
DODRIO,Dodrio,Normal,Flying,360,60,110,70,60,60,0,Run Away,Early Bird,Tangled Feet
DODUO,Doduo,Normal,Flying,310,35,85,45,35,35,75,Run Away,Early Bird,Tangled Feet
DONDOZO,Dondozo,Water,,530,150,100,115,65,65,35,Unaware,Oblivious,Water Veil
DONPHAN,Donphan,Ground,,500,90,120,120,60,60,50,Sturdy,Sand Veil,
DOTTLER,Dottler,Bug,Psychic,335,50,35,80,50,90,30,Swarm,Compound Eyes,Telepathy
DOUBLADE,Doublade,Steel,Ghost,448,59,110,150,45,49,35,,,
DRACOVISH,Dracovish,Water,Dragon,505,90,90,100,70,80,75,Water Absorb,Strong Jaw,Sand Rush
DRACOZOLT,Dracozolt,Electric,Dragon,505,90,100,90,80,70,75,Volt Absorb,Hustle,Sand Rush
DRAGALGE,Dragalge,Poison,Dragon,494,65,75,90,97,123,44,Poison Point,Poison Touch,Adaptability
DRAGAPULT,Dragapult,Dragon,Ghost,600,88,120,75,100,75,142,Clear Body,Infiltrator,Cursed Body
DRAGONAIR,Dragonair,Dragon,,420,61,84,65,70,70,70,Shed Skin,Marvel Scale,
DRAGONITE,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,Inner Focus,Multiscale,
DRAKLOAK,Drakloak,Dragon,Ghost,410,68,80,50,60,50,102,Clear Body,Infiltrator,Cursed Body
DRAMPA,Drampa,Normal,Dragon,485,78,60,85,135,91,36,Berserk,Sap Sipper,Cloud Nine
DRAPION,Drapion,Poison,Dark,500,70,90,110,60,75,95,Battle Armor,Sniper,Keen Eye
DRATINI,Dratini,Dragon,,300,41,64,45,50,50,50,Shed Skin,Marvel Scale,
DREEPY,Dreepy,Dragon,Ghost,270,28,60,30,40,30,82,Clear Body,Infiltrator,Cursed Body
DRIFBLIM,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,Aftermath,Unburden,Flare Boost
DRIFLOON,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,Aftermath,Unburden,Flare Boost
DRILBUR,Drilbur,Ground,,328,60,85,40,30,45,68,Sand Rush,Sand Force,Mold Breaker
DRIZZILE,Drizzile,Water,,420,65,60,55,95,55,90,Torrent,Sniper,
DROWZEE,Drowzee,Psychic,,328,60,48,45,43,90,42,Insomnia,Forewarn,Inner Focus
DRUDDIGON,Druddigon,Dragon,,485,77,120,90,60,90,48,Rough Skin,Sheer Force,Mold Breaker
DUBWOOL,Dubwool,Normal,,490,72,80,100,60,90,88,Composure,Composure,Magic Bounce
DUCKLETT,Ducklett,Water,Flying,305,62,44,50,44,50,55,Keen Eye,Big Pecks,Hydration
DUGTRIO,Dugtrio,Ground,,325,35,0,50,50,70,120,Sand Veil,Arena Trap,Sand Force
DUGTRIO_ALOLAN,Dugtrio,Ground,Steel,325,35,0,60,50,70,110,Sand Veil,Tangling Hair,Sand Force
DUNSPARCE,Dunsparce,Normal,,415,100,70,70,65,65,45,Serene Grace,Run Away,Rattled
DUOSION,Duosion,Steel,Poison,370,65,40,50,125,60,30,Overcoat,Magic Guard,Regenerator
DURANT,Durant,Bug,Steel,484,58,109,112,48,48,109,Swarm,Hustle,Truant
DUSCLOPS,Dusclops,Ghost,,455,40,70,130,60,130,25,Pressure,Frisk,
DUSKNOIR,Dusknoir,Ghost,,525,45,100,135,65,135,45,Pressure,Frisk,
DUSKULL,Duskull,Ghost,,295,20,40,90,30,90,25,Levitate,Frisk,
DUSTOX,Dustox,Bug,Poison,385,60,50,70,50,90,65,Shield Dust,Compound Eyes,
DWEBBLE,Dwebble,Bug,Rock,325,50,65,85,35,35,55,Sturdy,Shell Armor,Weak Armor
